timestamp,open,high,low,close,volume,MACD,Signal Line
2023-08-07,451.11,455.4,445.6345,454.165,32215354,-5.292913456502674,-3.9533661073365596
2023-08-04,449.85,456.42,443.93,446.8,36266618,-4.508412326221958,-4.06437535111364
2023-08-03,438.0,451.18,438.0,445.15,32507660,-3.9740207019139575,-4.046304421273703
2023-08-02,458.31,458.4,433.87,442.69,53014157,-3.7062891364087136,-3.9783013643007052
2023-08-01,464.595,469.0,460.27,465.07,23927597,-1.6689918798286385,-3.516439467406292
2023-07-31,467.54,471.3,465.0601,467.29,25105528,0.12329505201984148,-2.7884925635210656
2023-07-28,466.68,470.27,463.81,467.5,33119424,1.5428555250974796,-1.9222229457973565
2023-07-27,465.19,473.95,457.5,459.0,45597552,1.9594017017241754,-1.1458980162930503
2023-07-26,460.21,460.53,446.3,454.52,36423726,1.906047262309471,-0.535508960572546
2023-07-25,449.41,461.825,449.23,456.79,34808091,2.023606635847159,-0.023685841288605014
2023-07-24,447.31,451.09,440.4,446.12,38309974,1.241482422683248,0.22934781150576558
2023-07-21,457.88,458.66,441.0,443.09,96376863,0.37284969245303046,0.2580481876952186
2023-07-20,465.07,470.87,450.62,455.2,53786451,0.6540878702788859,0.33725612421195206
2023-07-19,474.64,478.18,467.42,470.77,42750179,2.1090284612219534,0.6916105916139523
2023-07-18,467.01,478.9599,457.34,474.94,57019042,3.557554240892671,1.2647993214696962
2023-07-17,462.89,464.96,452.6241,464.61,51048822,3.827851598288362,1.7774097768334294
2023-07-14,465.8281,480.88,450.6,454.69,77207533,3.2046617603700156,2.062860173540747
2023-07-13,445.18,461.55,444.92,459.77,47820369,3.085129417153439,2.2673140222632853
2023-07-12,430.33,439.35,427.7728,439.02,48127702,1.301049895634435,2.074061196937515
2023-07-11,424.81,427.58,420.67,424.05,29824406,-1.3057480188962813,1.398099353770756
2023-07-10,426.57,428.11,416.49,421.8,35390811,-3.5127179175298124,0.41593589951064236
2023-07-07,423.22,432.14,421.8,425.03,35588147,-4.944130596886225,-0.6560773997687311
2023-07-06,418.44,421.79,413.46,421.03,30413879,-6.3283527177849805,-1.790532463371981
2023-07-05,421.35,431.77,420.85,423.17,32361756,-7.170026998058518,-2.8664313703092885
2023-07-03,425.17,428.98,422.02,424.13,19820919,-7.671167508266535,-3.827378597900738
2023-06-30,416.8,425.5,415.01,423.02,50114775,-8.064925258335222,-4.674887929987635
2023-06-29,415.58,416.0,406.0,408.22,38051430,-9.46214372054476,-5.6323390880990605
2023-06-28,406.6,418.45,405.18,411.17,58263927,-10.213672216913494,-6.548605713861948
